#group	name	role
Authors & Founders	Brinda Adige	Director, Global Concerns India
Authors & Founders	Alastair George Christie	Co-Author and Founder (Late)
Governing Board	Narayan Adige	President, Global Concerns India
Governing Board	Kalpana PV	Vice-President, Global Concerns India
Governing Board	KA Suresh	Treasurer, Global Concerns India
Governing Board	Dr Sadhna Dash	Trustee, Global Concerns India
Governing Board	Samragni Rajan	Trustee
Advisory Board	Suresh Venkat	
Advisory Board	Abhay Toshniwal	
Advisory Board	Tushad Talati	
Advisory Board	Sneha Talati	
Advisory Board	Chatura Padaki	
Advisory Board	Shabari Padaki	
Advisory Board	Nitya Rao	